Name of Location (if applicable),Address,City,State,Zipcode,"Sub-Program (AIR, A4A)",Full Address,Longitude,Latitude
Bellevue Elementary School,3223 Primrose Ave,Santa Rosa,CA,95407-7723,"Dancers Unite, AIS",3223 Primrose Ave Santa Rosa CA,-122.7356064,38.3977054
Cali Calmécac Language Academy,9491 Starr Rd,Windsor,CA,95492-9460,Dancers Unite,9491 Starr Rd Windsor CA,-122.8265143,38.5501928
Hillcrest Middle School,725 Bloomfield Rd,Sebastopol,CA,95472-5153,AIS,725 Bloomfield Rd Sebastopol CA,-122.805482,38.37012199999999
Kawana Springs Elementary School,2121 Moraga Dr,Santa Rosa,CA,95404,"Dancers Unite, AIS",2121 Moraga Dr Santa Rosa CA,-122.7006656,38.421003
Kid Street Learning Center,709 Davis St,Santa Rosa,CA,95401,"Dancers Unite, AIS",709 Davis St Santa Rosa CA,-122.7220679,38.4409984
Lincoln Elementary School,850 W 9th St,Santa Rosa,CA,95401,"Dancers Unite, AIS",850 W 9th St Santa Rosa CA,-122.7371723,38.4412885
Mattie Washburn Elementary School,75 Pleasant Ave,Windsor,CA,95492,Dancers Unite,75 Pleasant Ave Windsor CA,-122.791925,38.541559
Oak Grove Elementary School,8760 Bower St,Sebastopol,CA,95472,AIS,8760 Bower St Sebastopol CA,-122.8640168,38.4324317
Olivet Charter School,1825 Willowside Rd,Santa Rosa,CA,95401,AIS,1825 Willowside Rd Santa Rosa CA,-122.8089895,38.4642009
Sheppard Accelerated Elementary School,1777 West Ave,Santa Rosa,CA,95407-7499,AIS,1777 West Ave Santa Rosa CA,-122.7280413,38.4193803
Taylor Mountain Elementary School,1210 E Bellevue Ave,Santa Rosa,CA,95407-2764,"Dancers Unite, AIS",1210 E Bellevue Ave Santa Rosa CA,-122.708696,38.4007469
