Name of Location (if applicable),Address,City,State,Zipcode,Full Address,Longitude,Latitude
Alexander Valley Elementary School & District,8511 Hwy 128,Healdsburg,CA,95448-9020,8511 Hwy 128 Healdsburg CA,-122.794013,38.6550293
Austin Creek Elementary School,1480 Snowy Egret Dr,Santa Rosa,CA,95409-4387,1480 Snowy Egret Dr Santa Rosa CA,-122.6375698,38.4653119
Bellevue Elementary School,3223 Primrose Ave,Santa Rosa,CA,95407-7723,3223 Primrose Ave Santa Rosa CA,-122.7356064,38.3977054
Beth Ami Community Nursery School,4676 Mayette Ave,Santa Rosa,CA,95405-7332,4676 Mayette Ave Santa Rosa CA,-122.6659962,38.4441182
Biella Elementary School,2140 Jennings Ave,Santa Rosa,CA,95401-9528,2140 Jennings Ave Santa Rosa CA,-122.7553216,38.4496391
Cardinal Newman High School,4320 Old Redwood Hwy,Santa Rosa,CA,95403,4320 Old Redwood Hwy Santa Rosa CA,-122.7391123,38.490942
César Chávez Language Academy,2480 Sebastopol Rd,Santa Rosa,CA,95407-6728,2480 Sebastopol Rd Santa Rosa CA,-122.7453101,38.4257334
Corona Creek Elementary School,1851 Hartman Ln,Petaluma,CA,94954-2535,1851 Hartman Ln Petaluma CA,-122.6483423,38.2756902
"County of Sonoma, Alternative Education Programs",5340 Skylane Blvd,Santa Rosa,CA,95403-1082,5340 Skylane Blvd Santa Rosa CA,-122.7981348,38.5121964
Evergreen Elementary School,1125 Emily Ave,Rohnert Park,CA,94928-1999,1125 Emily Ave Rohnert Park CA,-122.6902075,38.356685
Flowery Elementary School,17600 Sonoma Hwy,Sonoma,CA,95476-3699,17600 Sonoma Hwy Sonoma CA,-122.4838181,38.3166963
Gravenstein Elementary School,3840 Twig Ave,Sebastopol,CA,95472-5750,3840 Twig Ave Sebastopol CA,-122.7846666,38.36037779999999
Guerneville Elementary School & District,14630 Armstrong Woods Rd,Guerneville,CA,95446-9559,14630 Armstrong Woods Rd Guerneville CA,-122.9962234,38.5107825
Harvest Christian School,3700 Lakeville Hwy Ste 210,Petaluma,CA,94954-7611,3700 Lakeville Hwy Ste 210 Petaluma CA,-122.5895868,38.233699
Healdsburg Charter School - HES Campus,400 1st St,Healdsburg,CA,95448-3939,400 1st St Healdsburg CA,-122.8613735,38.6131005
Healdsburg Elementary School - Fitch Mountain Campus,520 Monte Vista Ave,Healdsburg,CA,95448-3543,520 Monte Vista Ave Healdsburg CA,-122.8632238,38.6234439
Hidden Valley Elementary School,3435 Bonita Vista Ln,Santa Rosa,CA,95404-1899,3435 Bonita Vista Ln Santa Rosa CA,-122.7001361,38.4740117
Hillcrest Middle School,725 Bloomfield Rd,Sebastopol,CA,95472-5153,725 Bloomfield Rd Sebastopol CA,-122.805482,38.37012199999999
Horicon School & District,35555 Annapolis Rd,Annapolis,CA,95412-9747,35555 Annapolis Rd Annapolis CA,-123.3661921,38.7176396
J.X. Wilson Elementary School,246 Brittain Ln,Santa Rosa,CA,95401-5899,246 Brittain Ln Santa Rosa CA,-122.74937,38.43307
Journey Academy,1800 Gravenstein Hwy N,Sebastopol,CA,95472-2607,1800 Gravenstein Hwy N Sebastopol CA,-122.8473679,38.4224545
Kenwood Elementary School & District,230 Randolph Ave,Kenwood,CA,95452,230 Randolph Ave Kenwood CA,-122.5538016,38.4155804
Kid Street Learning Center,709 Davis St,Santa Rosa,CA,95401,709 Davis St Santa Rosa CA,-122.7220679,38.4409984
Lincoln Elementary School,850 W 9th St,Santa Rosa,CA,95401,850 W 9th St Santa Rosa CA,-122.7371723,38.4412885
Mark West Charter School,4600 Lavell Rd,Santa Rosa,CA,95403-1296,4600 Lavell Rd Santa Rosa CA,-122.7592906,38.5025189
Meadow View Elementary School,2665 Dutton Mdw,Santa Rosa,CA,95407-7730,2665 Dutton Mdw Santa Rosa CA,-122.7294971,38.41252009999999
Miwok Valley Elementary School,1010 Saint Francis Dr,Petaluma,CA,94954-5399,1010 Saint Francis Dr Petaluma CA,-122.6102304,38.2359807
Monroe Elementary School,2567 Marlow Rd,Santa Rosa,CA,95403-2499,2567 Marlow Rd Santa Rosa CA,-122.7531826,38.4565805
Monte Rio Union School & District,20700 Foothill Dr,Monte Rio,CA,95462-9733,20700 Foothill Dr Monte Rio CA,-123.0148319,38.4717579
Montgomery Elementary School & District,18620 Fort Ross Rd,Cazadero,CA,95421,18620 Fort Ross Rd Cazadero CA,-123.092044,38.5395543
Montgomery High School,1250 Hahman Dr,Santa Rosa,CA,95405-6996,1250 Hahman Dr Santa Rosa CA,-122.684959,38.4404518
New Horizon School and Learning Center,827 3rd St,Santa Rosa,CA,95404-4501,827 3rd St Santa Rosa CA,-122.709424,38.4417286
Old Adobe Charter School,2856 Old Adobe Rd,Petaluma,CA,94954-9546,2856 Old Adobe Rd Petaluma CA,-122.598062,38.2612993
Orchard View School,700 Watertrough Rd,Sebastopol,CA,95472-3917,700 Watertrough Rd Sebastopol CA,-122.8535094,38.3881643
Pathways Charter School,150 Professional Center Dr Ste C,Rohnert Park,CA,94928-2148,150 Professional Center Dr Ste C Rohnert Park CA,-122.7102843,38.3544294
Penngrove Elementary School,365 Adobe Rd,Penngrove,CA,94951,365 Adobe Rd Penngrove CA,-122.6680522,38.3001133
Piner-Olivet Charter School,2707 Francisco Ave,Santa Rosa,CA,95403-1869,2707 Francisco Ave Santa Rosa CA,-122.7650564,38.4798227
Rincon Valley Charter School: Matanzas Campus,1687 Yulupa Ave,Santa Rosa,CA,95405-7778,1687 Yulupa Ave Santa Rosa CA,-122.6707446,38.4374924
Roseland Collegiate Prep,80 Ursuline Rd,Santa Rosa,CA,95403,80 Ursuline Rd Santa Rosa CA,-122.7398409,38.4952702
Roseland Creek Elementary School,1683 Burbank Ave,Santa Rosa,CA,95407-5903,1683 Burbank Ave Santa Rosa CA,-122.7355623,38.4231545
Roseland Elementary School,950 Sebastopol Rd,Santa Rosa,CA,95407-6872,950 Sebastopol Rd Santa Rosa CA,-122.7302954,38.4287161
Salmon Creek Harmony ARK,1935 Bohemian Hwy,Occidental,CA,95465-9100,1935 Bohemian Hwy Occidental CA,-122.9307362,38.388662
Santa Rosa Accelerated Charter School,4650 Badger Rd,Santa Rosa,CA,95409-2633,4650 Badger Rd Santa Rosa CA,-122.671347,38.4810804
Sequoia Elementary School,5305 Dupont Dr,Santa Rosa,CA,95409-3843,5305 Dupont Dr Santa Rosa CA,-122.6529556,38.4698037
Sheppard Accelerated Elementary School,1777 West Ave,Santa Rosa,CA,95407-7499,1777 West Ave Santa Rosa CA,-122.7280413,38.4193803
Slater Middle School,3500 Sonoma Ave,Santa Rosa,CA,95405-5498,3500 Sonoma Ave Santa Rosa CA,-122.6731683,38.4475216
Sonoma Country Day School,4400 Day School Pl,Santa Rosa,CA,95403-8221,4400 Day School Pl Santa Rosa CA,-122.7877307,38.516932
St. Eugene Homeschool Academy,133 Gray Ct,Santa Rosa,CA,95404,133 Gray Ct Santa Rosa CA,-122.7052765,38.4387935
St. John's Catholic School,217 Fitch St,Healdsburg,CA,95448-4201,217 Fitch St Healdsburg CA,-122.8672642,38.6103583
Taylor Mountain Elementary School,1210 E Bellevue Ave,Santa Rosa,CA,95407-2764,1210 E Bellevue Ave Santa Rosa CA,-122.708696,38.4007469
The Presentation School,20872 Broadway,Sonoma,CA,95476-7944,20872 Broadway Sonoma CA,-122.4604959,38.26962839999999
The REACH School,487 Watertrough Rd,Sebastopol,CA,95472-3911,487 Watertrough Rd Sebastopol CA,-122.8504693,38.3913272
Thomas Page Academy,1075 Madrone Ave,Cotati,CA,94931-4195,1075 Madrone Ave Cotati CA,-122.7250637,38.3295789
Twin Hills Charter Middle School,1685 Watertrough Rd,Sebastopol,CA,95472-4647,1685 Watertrough Rd Sebastopol CA,-122.8370081,38.3804895
Two Rock Union School & District,5001 Spring Hill Rd,Petaluma,CA,94952-4634,5001 Spring Hill Rd Petaluma CA,-122.7788689,38.2551582
Valley Vista Elementary School,730 N Webster St,Petaluma,CA,94952-1798,730 N Webster St Petaluma CA,-122.6529556,38.232706
West County High School,6950 Analy Ave,Sebastopol,CA,95472,6950 Analy Ave Sebastopol CA,-122.8270268,38.40788939999999
Windsor Middle School,9500 Brooks Rd S,Windsor,CA,95492-7912,9500 Brooks Rd S Windsor CA,-122.8063472,38.5579734
Woodland Star Charter School,17811 Arnold Dr,Sonoma,CA,95476,17811 Arnold Dr Sonoma CA,-122.4955458,38.3127372
